name,place ID,coordinates,business types,n_restaurants,n_grocery,n_retail,n_entertainment,n_religious,n_industry
The Creamery At South Park,ChIJEVQIqbVZXIYRx1Y8A7zL7vs,"29.3551811, -98.531087","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
Cumberland Presbyterian Church,ChIJhRP7lYn2XIYRHrGrsLgUQzQ,"29.412734, -98.438671","['church', 'place_of_worship', 'point_of_interest', 'establishment']",9,0,0,0,0,0
San Antonio Alamo city collision,ChIJ03o9Oa1YXIYR1np8IpUQRgU,"29.4241219, -98.49362819999999","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Alamo Access Used Auto Parts,ChIJawFoHKleXIYRUnoLEUnlseY,"29.4279559, -98.56904779999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Car Key Maker New San Antonio TX,ChIJoUTK-GlZXIYRxAXhuAXaios,"29.423667, -98.49303599999999","['car_repair', 'locksmith', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Chris Madrids,ChIJ2QQjnwxfXIYRe1f2EB5sCzE,"29.4642204, -98.507616","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20,1,0,0,0,0
Southwest Trailers,ChIJpZHtU92MXIYRBdva04ZzvsA,"29.5320108, -98.3894443","['car_repair', 'point_of_interest', 'store', 'establishment']",5,0,0,0,0,0
Jacob's Fan Industrial Commercial Exhaust,ChIJ1zJAwlNfXIYR2hRBlgAopRU,"29.4302841, -98.49076140000001","['car_repair', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Spanish Christian Church,ChIJbQBZBp5fXIYRngVlV4UNLss,"29.4711568, -98.5008684","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,1,0,0,0,0
Saltgrass Steak House,ChIJq1Co16F4XIYRFVTSc1qyx9g,"29.42480669999999, -98.48868449999999","['restaurant', 'food', 'point_of_interest', 'establishment']",20,0,0,0,0,0
Family Dollar,ChIJE916TbJdXIYRbshAh38KMfc,"29.4678204, -98.60116599999999","['supermarket', 'grocery_or_supermarket', 'liquor_store', 'food', 'point_of_interest', 'clothing_store', 'store', 'establishment']",16,0,0,0,0,0
Firestone Complete Auto Care,ChIJPQiT7z9eXIYRslkthpt4s9Y,"29.49159049999999, -98.549313","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,1,0,0
KFC,ChIJ2ySpEjDxXIYRB2HDyIXcI3E,"29.398798, -98.3862432","['restaurant', 'food', 'point_of_interest', 'establishment']",20,1,0,0,0,0
Aquatic Interiors Unlimited,ChIJ91VM1x1gXIYRI3dAD3PrDJ4,"29.552206, -98.49062099999999","['aquarium', 'pet_store', 'food', 'point_of_interest', 'store', 'establishment']",6,0,0,0,0,0
NAPA Auto Parts - Genuine Parts Company,ChIJSUSe4gfzXIYRRQISfYx9Ttg,"29.48028489999999, -98.3635461","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Pep Boys,ChIJy1VkI5NfXIYR2ftkO4jkRSc,"29.492669, -98.49854099999999","['car_repair', 'point_of_interest', 'store', 'establishment']",20,0,0,0,0,0
Harlandale Christian Church,ChIJJS-eQG9YXIYRrYox3fRM1DM,"29.3655507, -98.4995989","['church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
St. Joseph Parish,ChIJZ0uD76pYXIYR0kj3cgjEXzI,"29.42371020000001, -98.48640379999999","['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",20,0,0,0,0,0
